X[s],"R TIBIALIS ANTERIOR: EMG 1",X[s],"R TIBIALIS ANTERIOR: ACC X 1",X[s],"R TIBIALIS ANTERIOR: ACC Y 1",X[s],"R TIBIALIS ANTERIOR: ACC Z 1",X[s],"R PERONEUS LONGUS: EMG 2",X[s],"R PERONEUS LONGUS: ACC X 2",X[s],"R PERONEUS LONGUS: ACC Y 2",X[s],"R PERONEUS LONGUS: ACC Z 2",X[s],"R GASTROCNEMIUS: EMG 3",X[s],"R GASTROCNEMIUS: ACC X 3",X[s],"R GASTROCNEMIUS: ACC Y 3",X[s],"R GASTROCNEMIUS: ACC Z 3",X[s],"R RECTUS FEMORIS: EMG 4",X[s],"R RECTUS FEMORIS: ACC X 4",X[s],"R RECTUS FEMORIS: ACC Y 4",X[s],"R RECTUS FEMORIS: ACC Z 4",X[s],"R_Tibia: EMG 5 (IM)",X[s],"R_Tibia: ACC X 5 (IM)",X[s],"R_Tibia: ACC Y 5 (IM)",X[s],"R_Tibia: ACC Z 5 (IM)",X[s],"R_Tibia: Gyro X 5 (IM)",X[s],"R_Tibia: Gyro Y 5 (IM)",X[s],"R_Tibia: Gyro Z 5 (IM)",X[s],"R_Tibia: Mag X 5 (IM)",X[s],"R_Tibia: Mag Y 5 (IM)",X[s],"R_Tibia: Mag Z 5 (IM)",X[s],"R_Foot_Switch: EMG 16",X[s],"R_Foot_Switch: ACC X 16",X[s],"R_Foot_Switch: ACC Y 16",X[s],"R_Foot_Switch: ACC Z 16"
0.01038462,0,0.135,-0.3556332,0.135,-0.5136406,0.135,0.4114133,0.01038462,0,0.135,-0.9159462,0.135,-0.5367572,0.135,0,0.01038462,0,0.135,-1.837672,0.135,0.8158184,0.135,-0.1730477,0.01038462,0,0.135,-0.09118104,0.135,1.170828,0.135,-1.645299,0.018,0,0.135,-0.2207031,0.135,-0.2963867,0.135,-2.816895,0.135,-71.40244,0.135,30.91463,0.135,9.756098,0.27,-93.9,0.27,4.6,0.27,70.7,0.01038462,0.7166154,0.135,-48.46683,0.135,-48.46683,0.135,-48.46683
0.01090385,0,0.14175,-0.2157774,0.14175,-0.4934185,0.14175,0.5336152,0.01090385,0,0.14175,-0.8609109,0.14175,-0.5720187,0.14175,0.0284995,0.01090385,0,0.14175,-1.777486,0.14175,0.8704665,0.14175,-0.1977688,0.01090385,0,0.14175,-0.463834,0.14175,1.178792,0.14175,-1.568302,0.0189,0,0.14175,-0.1552734,0.14175,-0.3510742,0.14175,-2.758789,0.14175,-138.5366,0.14175,14.45122,0.14175,2.987805,0.2835,-93.5,0.2835,5.1,0.2835,67.1,0.01090385,0.7166154,0.14175,-48.46683,0.14175,-48.46683,0.14175,-48.46683
0.01142308,0,0.1485,-0.1358599,0.1485,-0.2871534,0.1485,0.6273034,0.01142308,0,0.1485,-0.8412553,0.1485,-0.427055,0.1485,0.0773558,0.01142308,0,0.1485,-1.592916,0.1485,0.5699018,0.1485,-0.4532202,0.01142308,0,0.1485,-0.745306,0.1485,1.15888,0.1485,-1.394047,0.0198,0,0.1485,-0.05126953,0.1485,-0.5229492,0.1485,-2.702148,0.1485,-190.6098,0.1485,-10.2439,0.1485,-3.780488,0.297,-93.6,0.297,5.4,0.297,66.6,0.01142308,0.7166154,0.1485,-48.46683,0.1485,-48.46683,0.1485,-48.46683
0.01194231,0,0.15525,-0.2277651,0.15525,0.04448856,0.15525,0.7454318,0.01194231,0,0.15525,-0.8333931,0.15525,0.01567174,0.15525,0.03257087,0.01194231,0,0.15525,-1.360198,0.15525,0.05074468,0.15525,-0.6839504,0.01194231,0,0.15525,-0.8642378,0.15525,1.07525,0.15525,-1.150899,0.0207,0,0.15525,0.08740234,0.15525,-0.8134766,0.15525,-2.525391,0.15525,-233.4756,0.15525,-40.67073,0.15525,-10.91463,0.3105,-92.9,0.3105,5.6,0.3105,62.7,0.01194231,0.7166154,0.15525,-48.46683,0.15525,-48.46683,0.15525,-48.46683
0.01246154,0,0.162,-0.52346,0.162,0.5540847,0.162,0.9735422,0.01246154,0,0.162,-1.081052,0.162,0.669967,0.162,0.06107037,0.01246154,0,0.162,-1.199703,0.162,-0.5425777,0.162,-0.7210321,0.01246154,0,0.162,-0.8206295,0.162,0.9318831,0.162,-0.8915414,0.0216,0,0.162,0.390625,0.162,-1.758301,0.162,0.05419922,0.162,-222.1951,0.162,-82.37805,0.162,-19.39024,0.324,-92.6,0.324,5.8,0.324,62.5,0.01246154,0.7166154,0.162,-48.46683,0.162,-48.46683,0.162,-48.46683
0.01298077,0,0.16875,-1.614335,0.16875,1.488344,0.16875,0.1995965,0.01298077,0,0.16875,-1.698235,0.16875,1.320344,0.16875,0.004071358,0.01298077,0,0.16875,-1.271926,0.16875,-1.104673,0.16875,-0.1977688,0.01298077,0,0.16875,-0.6937689,0.16875,0.7367452,0.16875,-0.729443,0.0225,0,0.16875,0.7773438,0.16875,-5.643066,0.16875,9.256348,0.16875,60.18293,0.16875,-6.52439,0.16875,37.56098,0.3375,-92.7,0.3375,6.2,0.3375,60.2,0.01298077,0.7166154,0.16875,-48.46683,0.16875,-48.46683,0.16875,-48.46683
0.0135,0,0.1755,-1.95798,0.1755,1.140525,0.1755,-1.592699,0.0135,0,0.1755,-1.851548,0.1755,0.8031768,0.1755,-0.9079129,0.0135,0,0.1755,-1.468532,0.1755,-1.362299,0.1755,0.7498734,0.0135,0,0.1755,-0.6224097,0.1755,0.6292202,0.1755,-0.4295609,0.0234,0,0.1755,-0.4423828,0.1755,-4.552734,0.1755,5.184082,0.1755,-90.48781,0.1755,-106.7073,0.1755,23.71951,0.351,-91.8,0.351,6.6,0.351,59.7,0.0135,0.7166154,0.1755,-48.46683,0.1755,-48.46683,0.1755,-48.46683
0.01401923,0,0.18225,-2.001935,0.18225,-1.387234,0.18225,-1.943011,0.01401923,0,0.18225,-1.906583,0.18225,-1.324262,0.18225,-1.669257,0.01401923,0,0.18225,-1.388285,0.18225,-0.9797627,0.18225,1.590391,0.01401923,0,0.18225,-0.9910983,0.18225,0.6570971,0.18225,-0.004052461,0.0243,0,0.18225,1.453613,0.18225,-0.3354492,0.18225,1.078125,0.18225,0.9146342,0.18225,-195.061,0.18225,-53.17073,0.3645,-92.1,0.3645,7,0.3645,59.2,0.01401923,0.7166154,0.18225,-48.46683,0.18225,-48.46683,0.18225,-48.46683
0.01453846,0,0.189,-1.814129,0.189,-2.010074,0.189,-0.9328082,0.01453846,0,0.189,-1.914445,0.189,-1.962886,0.189,-1.909467,0.01453846,0,0.189,-1.04322,0.189,0.9719558,0.189,2.117774,0.01453846,0,0.189,-1.823621,0.189,1.230564,0.189,0.3890362,0.0252,0,0.189,0.894043,0.189,0.4755859,0.189,-1.480957,0.189,-126.2805,0.189,49.69512,0.189,-60.06098,0.378,-91.8,0.378,7,0.378,57.5,0.01453846,0.7166154,0.189,-48.46683,0.189,-48.46683,0.189,-48.46683
0.01505769,0,0.19575,0.06393405,0.19575,-1.900875,0.19575,-0.9083678,0.01505769,0,0.19575,-1.407334,0.19575,-2.04908,0.19575,-1.441261,0.01505769,0,0.19575,-1.737362,0.19575,1.787774,0.19575,2.200178,0.01505769,0,0.19575,-1.970303,0.19575,1.728364,0.19575,0.2917772,0.0261,0,0.19575,1,0.19575,-0.1455078,0.19575,-2.128418,0.19575,-311.0366,0.19575,251.5244,0.19575,-56.82927,0.3915,-91.7,0.3915,7.3,0.3915,58.2,0.01505769,0.7166154,0.19575,-48.46683,0.19575,-48.46683,0.19575,-48.46683
